disease,doctor_specialty
Atrial fibrillation,Cardiologist
Abdominal aortic aneurysm,General Physician
Separated shoulder,General Physician
Acanthosis nigricans,General Physician
Achilles tendinitis,General Physician
Gastroesophageal reflux disease (GERD),Gastroenterologist
ACL injury,General Physician
HIV/AIDS,General Physician
Actinic keratosis,General Physician
Acute coronary syndrome,General Physician
Sweet's syndrome,General Physician
Acute flaccid myelitis (AFM),General Physician
Acute myelogenous leukemia,General Physician
Guillain-Barre syndrome,General Physician
Acute kidney failure,Nephrologist
Acute lymphocytic leukemia,General Physician
Acute sinusitis,General Physician
Alcohol use disorder,General Physician
Drug addiction (substance use disorder),General Physician
Nicotine dependence,General Physician
Adenomyosis,General Physician
Attention-deficit/hyperactivity disorder (ADHD) in children,General Physician
Adult attention-deficit/hyperactivity disorder (ADHD),General Physician
Childhood schizophrenia,General Physician
Adult Still's disease,General Physician
Age spots (liver spots),General Physician
Dry macular degeneration,General Physician
Wet macular degeneration,General Physician
Myelofibrosis,General Physician
Airplane ear,General Physician
Alcohol intolerance,General Physician
Alcoholic hepatitis,General Physician
Hay fever,General Physician
Allergies,General Physician
Dust mite allergy,General Physician
Egg allergy,General Physician
Latex allergy,General Physician
Mold allergy,General Physician
Nickel allergy,General Physician
Peanut allergy,General Physician
Penicillin allergy,General Physician
Pet allergy,General Physician
Shellfish allergy,General Physician
Soy allergy,General Physician
Wheat allergy,General Physician
Hair loss,General Physician
Alpha-gal syndrome,General Physician
Alzheimer's disease,General Physician
Lazy eye (amblyopia),General Physician
Amenorrhea,General Physician
Chagas disease,General Physician
Amnesia,General Physician
Transient global amnesia,General Physician
Ampullary cancer,Oncologist
Amyloidosis,General Physician
Anal cancer,Oncologist
Anal fissure,General Physician
Anaphylaxis,General Physician
Anemia,General Physician
Thalassemia,General Physician
Iron deficiency anemia,General Physician
Sickle cell anemia,General Physician
Brain aneurysm,Neurologist
Thoracic aortic aneurysm,General Physician
Angelman syndrome,General Physician
Vasculitis,General Physician
Angina,General Physician
Hives and angioedema,General Physician
Angiosarcoma,General Physician
Broken ankle,General Physician
Tongue-tie (ankyloglossia),General Physician
Ankylosing spondylitis,General Physician
Anorexia nervosa,General Physician
Anterior prolapse (cystocele),General Physician
Anthrax,General Physician
Pseudomembranous colitis,General Physician
Antiphospholipid syndrome,General Physician
Antisocial personality disorder,General Physician
Anxiety disorders,General Physician
Coarctation of the aorta,General Physician
Aortic dissection,General Physician
Aortic valve disease,General Physician
Aortic valve regurgitation,General Physician
Aortic valve stenosis,General Physician
Canker sore,General Physician
Broken heart syndrome,Cardiologist
Chiari malformation,General Physician
Heart arrhythmia,Cardiologist
Arteriosclerosis / atherosclerosis,General Physician
Arteriovenous fistula,General Physician
Giant cell arteritis,General Physician
Takayasu's arteritis,General Physician
