disease,overview,treatment,when_to_see_doctor
Atrial fibrillation,"In a typical heart rhythm, a tiny cluster of cells at the sinus node sends out an electrical signal (sinus node impulse). The signal follows a specific path through the upper chambers (atria) and into the lower chambers (ventricles), causing them to squeeze and pump out blood. In atrial fibrillation, electrical signals fire from many areas in the atria, causing the chambers to beat chaotically. Some or all of these chaotic signals enter the ventricles, causing a fast, irregular heartbeat. In a typical heart rhythm, a tiny cluster of cells at the sinus node sends out an electrical signal (sinus node impulse). The signal follows a specific path through the upper chambers (atria) and into the lower chambers (ventricles), causing them to squeeze and pump out blood. In atrial fibrillation, electrical signals fire from many areas in the atria, causing the chambers to beat chaotically. Some or all of these chaotic signals enter the ventricles, causing a fast, irregular heartbeat. Atrial fibrillation (A-fib) is an irregular and often very rapid heart rhythm (arrhythmia) that can lead to blood clots in the heart. A-fib increases the risk of stroke, heart failure and other heart-related complications. During atrial fibrillation, the heart's upper chambers (the atria) beat chaotically and irregularly — out of sync with the lower chambers (the ventricles) of the heart. For many people, A-fib may have no symptoms. However, A-fib may cause a fast, pounding heartbeat (palpitations), shortness of breath or weakness. Episodes of atrial fibrillation may come and go, or they may be persistent. Although A-fib itself usually isn't life-threatening, it's a serious medical condition that requires proper treatment to prevent stroke. Treatment for atrial fibrillation may include medications, therapy to reset the heart rhythm and catheter procedures to block faulty heart signals. A person with atrial fibrillation may also have a related heart rhythm problem called atrial flutter. Although atrial flutter is a different arrhythmia, the treatment is quite similar to atrial fibrillation.",Reset the heart rhythm Control the heart rate Prevent blood clots that can lead to stroke Medications Therapy to reset the heart rhythm (cardioversion) Surgery or catheter procedures,"If you have any signs or symptoms of atrial fibrillation, make an appointment with your doctor. If you have chest pain, seek immediate medical help. Chest pain could mean that you're having a heart attack."
Abdominal aortic aneurysm,"An abdominal aortic aneurysm occurs when a lower portion of the body's main artery (aorta) becomes weakened and bulges. An abdominal aortic aneurysm occurs when a lower portion of the body's main artery (aorta) becomes weakened and bulges. An abdominal aortic aneurysm is an enlarged area in the lower part of the major vessel that supplies blood to the body (aorta). The aorta runs from the heart through the center of the chest and abdomen. The aorta is the largest blood vessel in the body, so a ruptured abdominal aortic aneurysm can cause life-threatening bleeding. Depending on the size of the aneurysm and how fast it's growing, treatment varies from watchful waiting to emergency surgery.","Endovascular repair. This procedure is used most often to repair an abdominal aortic aneurysm. A surgeon inserts a thin, flexible tube (catheter) through an artery in the leg and gently guides it to the aorta. A metal mesh tube (graft) on the end of the catheter is placed at the site of the aneurysm, expanded and fastened in place. The graft strengthens the weakened section of the aorta to prevent rupture of the aneurysm.
Endovascular surgery isn't an option for everyone with an abdominal aortic aneurysm. You and your doctor will discuss the best repair option for you. After endovascular surgery, you'll need regular imaging tests to ensure that the grafted area isn't leaking.
 Open abdominal surgery. This involves removing the damaged part of the aorta and replacing it with a graft, which is sewn into place. Full recovery may take a month or more.","If you have pain, especially if pain is sudden and severe, seek immediate medical help."
Separated shoulder,"A separated shoulder is an injury to the ligaments that hold your collarbone (clavicle) to your shoulder blade. In a mild separated shoulder, the ligaments might just be stretched. In severe injuries, ligaments might be torn. A separated shoulder is an injury to the ligaments that hold your collarbone (clavicle) to your shoulder blade. In a mild separated shoulder, the ligaments might just be stretched. In severe injuries, ligaments might be torn. A separated shoulder is an injury to the ligaments that hold your collarbone (clavicle) to your shoulder blade. In a mild separated shoulder, the ligaments might just be stretched. In severe injuries, ligaments might be torn. In most people, a separated shoulder doesn't usually require surgery. Instead, conservative treatment — such as rest, ice and pain relievers — is often enough to relieve the pain. Most people regain full shoulder function within a few weeks after having a separated shoulder.","Rest. Avoid activities that aggravate your shoulder pain, especially crossing the affected arm in front of your body. You might want to temporarily immobilize your arm in a sling to take pressure off your shoulder and promote healing. Ice. Ice can reduce shoulder pain and swelling. Use a cold pack for 15 to 20 minutes at a time. Physical therapy. Stretching and strengthening exercises can help restore strength and motion in your shoulder.","Contact your doctor if you have persistent tenderness or pain near the end of your collarbone. Causes The most common cause of a separated shoulder is a blow to the point of your shoulder or a fall directly on your shoulder. The injury may stretch or tear the ligaments that hold your collarbone to your shoulder blade. Risk factors Participating in contact sports, such as football and hockey, or in sports that can involve falls — such as downhill skiing, gymnastics and volleyball — might put you at higher risk of a separated shoulder. Complications Most people fully recover from a separated shoulder with conservative treatment. Continued shoulder pain is possible, however, if: 
You have a severe separation that involves significant displacement or fracture of the collarbone
You develop arthritis in your shoulder
Other structures around your shoulder, such as the rotator cuff, are damaged"
Acanthosis nigricans,"Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. It typically affects the armpits, groin and neck. Acanthosis nigricans is a skin condition that causes a dark discoloration in body folds and creases. It typically affects the armpits, groin and neck. Acanthosis nigricans is a skin condition characterized by areas of dark, velvety discoloration in body folds and creases. The affected skin can become thickened. Most often, acanthosis nigricans affects your armpits, groin and neck. The skin changes of acanthosis nigricans (ak-an-THOE-sis NIE-grih-kuns) typically occur in people who are obese or have diabetes. Children who develop the condition are at higher risk of developing type 2 diabetes. Rarely, acanthosis nigricans can be a warning sign of a cancerous tumor in an internal organ, such as the stomach or liver. No specific treatment is available for acanthosis nigricans. Treatment of underlying conditions may restore some of the normal color and texture to affected areas of skin.","Losing weight. If your acanthosis nigricans is caused by obesity, losing weight may help. Stopping medications or supplements. If your condition seems to be related to a medication or supplement that you use, your doctor may suggest that you stop using that substance. Having surgery. If acanthosis nigricans was triggered by a cancerous tumor, surgically removing the tumor often clears up the skin discoloration. Prescription creams to lighten or soften the affected areas Antibacterial soaps, used gently, as scrubbing could worsen the condition Topical antibiotic Oral acne medications Laser therapy to reduce the skin's thickness",Consult your doctor if you notice changes in your skin — especially if the changes appear suddenly. You may have an underlying condition that needs treatment.
Achilles tendinitis,"Achilles tendinitis is an overuse injury of the Achilles (uh-KILL-eez) tendon, the band of tissue that connects calf muscles at the back of the lower leg to your heel bone. Achilles tendinitis most commonly occurs in runners who have suddenly increased the intensity or duration of their runs. It's also common in middle-aged people who play sports, such as tennis or basketball, only on the weekends. Most cases of Achilles tendinitis can be treated with relatively simple, at-home care under your doctor's supervision. Self-care strategies are usually necessary to prevent recurring episodes. More-serious cases of Achilles tendinitis can lead to tendon tears (ruptures) that may require surgical repair.","Exercises. Therapists often prescribe specific stretching and strengthening exercises to promote healing and strengthening of the Achilles tendon and its supporting structures.
A special type of strengthening called ""eccentric"" strengthening, involving a slow let down of a weight after raising it, has been found to be especially helpful for persistent Achilles problems.
 Orthotic devices. A shoe insert or wedge that slightly elevates your heel can relieve strain on the tendon and provide a cushion that lessens the amount of force exerted on your Achilles tendon.","If you experience persistent pain around the Achilles tendon, call your doctor. Seek immediate medical attention if the pain or disability is severe. You may have a torn (ruptured) Achilles tendon."
Gastroesophageal reflux disease (GERD),"Acid reflux occurs when the sphincter muscle at the lower end of your esophagus relaxes at the wrong time, allowing stomach acid to back up into your esophagus. This can cause heartburn and other signs and symptoms. Frequent or constant reflux can lead to gastroesophageal reflux disease (GERD). Acid reflux occurs when the sphincter muscle at the lower end of your esophagus relaxes at the wrong time, allowing stomach acid to back up into your esophagus. This can cause heartburn and other signs and symptoms. Frequent or constant reflux can lead to gastroesophageal reflux disease (GERD). Gastroesophageal reflux disease (GERD) occurs when stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus. Many people experience acid reflux from time to time. GERD is mild acid reflux that occurs at least twice a week, or moderate to severe acid reflux that occurs at least once a week. Most people can manage the discomfort of GERD with lifestyle changes and over-the-counter medications. But some people with GERD may need stronger medications or surgery to ease symptoms.","Antacids that neutralize stomach acid. Antacids, such as Mylanta, Rolaids and Tums, may provide quick relief. But antacids alone won't heal an inflamed esophagus damaged by stomach acid. Overuse of some antacids can cause side effects, such as diarrhea or sometimes kidney problems. Medications to reduce acid production. These medications — known as H-2-receptor blockers — include cimetidine (Tagamet HB), famotidine (Pepcid AC) and nizatidine (Axid AR). H-2-receptor blockers don't act as quickly as antacids, but they provide longer relief and may decrease acid production from the stomach for up to 12 hours. Stronger versions are available by prescription. Medications that block acid production and heal the esophagus. These medications — known as proton pump inhibitors — are stronger acid blockers than H-2-receptor blockers and allow time for damaged esophageal tissue to heal. Over-the-counter proton pump inhibitors include lansoprazole (Prevacid 24 HR) and omeprazole (Prilosec OTC, Zegerid OTC).","Seek immediate medical care if you have chest pain, especially if you also have shortness of breath, or jaw or arm pain. These may be signs and symptoms of a heart attack. Make an appointment with your doctor if you: 
Experience severe or frequent GERD symptoms
Take over-the-counter medications for heartburn more than twice a week"
ACL injury,"The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize your knee joint. The ACL connects your thighbone (femur) to your shinbone (tibia). It's most commonly torn during sports that involve sudden stops and changes in direction — such as basketball, soccer, tennis and volleyball. The anterior cruciate ligament (ACL) is one of the key ligaments that help stabilize your knee joint. The ACL connects your thighbone (femur) to your shinbone (tibia). It's most commonly torn during sports that involve sudden stops and changes in direction — such as basketball, soccer, tennis and volleyball. An ACL injury is a tear or sprain of the anterior cruciate (KROO-she-ate) ligament (ACL) — one of the strong bands of tissue that help connect your thigh bone (femur) to your shinbone (tibia). ACL injuries most commonly occur during sports that involve sudden stops or changes in direction, jumping and landing — such as soccer, basketball, football and downhill skiing. Many people hear a pop or feel a ""popping"" sensation in the knee when an ACL injury occurs. Your knee may swell, feel unstable and become too painful to bear weight. Depending on the severity of your ACL injury, treatment may include rest and rehabilitation exercises to help you regain strength and stability, or surgery to replace the torn ligament followed by rehabilitation. A proper training program may help reduce the risk of an ACL injury.","Rest. General rest is necessary for healing and limits weight bearing on your knee. Ice. When you're awake, try to ice your knee at least every two hours for 20 minutes at a time. Compression. Wrap an elastic bandage or compression wrap around your knee. Elevation. Lie down with your knee propped up on pillows.","Seek immediate care if any injury to your knee causes signs or symptoms of an ACL injury. The knee joint is a complex structure of bones, ligaments, tendons and other tissues that work together. It's important to get a prompt and accurate diagnosis to determine the severity of the injury and get proper treatment."
HIV/AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease. HIV is a sexually transmitted infection (STI). It can also be spread by contact with infected blood or from mother to child during pregnancy, childbirth or breast-feeding. Without medication, it may take years before HIV weakens your immune system to the point that you have AIDS. There's no cure for HIV/AIDS, but medications can dramatically slow the progression of the disease. These drugs have reduced AIDS deaths in many developed nations.","Account for individual drug resistance (viral genotype) Avoid creating new drug-resistant strains of HIV Maximize suppression of virus in the blood Non-nucleoside reverse transcriptase inhibitors (NNRTIs) turn off a protein needed by HIV to make copies of itself. Examples include efavirenz (Sustiva), rilpivirine (Edurant) and doravirine (Pifeltro). Nucleoside or nucleotide reverse transcriptase inhibitors (NRTIs) are faulty versions of the building blocks that HIV needs to make copies of itself. Examples include abacavir (Ziagen), tenofovir (Viread), emtricitabine (Emtriva), lamivudine (Epivir) and zidovudine (Retrovir). Combination drugs also are available, such as emtricitabine/tenofovir (Truvada) and emtricitabine/tenofovir alafenamide (Descovy). Protease inhibitors (PIs) inactivate HIV protease, another protein that HIV needs to make copies of itself. Examples include atazanavir (Reyataz), darunavir (Prezista) and lopinavir/ritonavir (Kaletra). Integrase inhibitors work by disabling a protein called integrase, which HIV uses to insert its genetic material into CD4 T cells. Examples include bictegravir sodium/emtricitabine/tenofovir alafenamide fumar (Biktarvy), raltegravir (Isentress) and dolutegravir (Tivicay). Entry or fusion inhibitors block HIV's entry into CD4 T cells. Examples include enfuvirtide (Fuzeon) and maraviroc (Selzentry).","If you think you may have been infected with HIV or are at risk of contracting the virus, see a doctor as soon as possible."
Actinic keratosis,"Actinic keratoses are scaly spots or patches on the top layer of skin. With time they may become hard with a wartlike surface. Actinic keratoses are scaly spots or patches on the top layer of skin. With time they may become hard with a wartlike surface. An actinic keratosis (ak-TIN-ik ker-uh-TOE-sis) is a rough, scaly patch on the skin that develops from years of sun exposure. It's often found on the face, lips, ears, forearms, scalp, neck or back of the hands. Also known as a solar keratosis, an actinic keratosis grows slowly and usually first appears in people over 40. You can reduce your risk of this skin condition by minimizing your sun exposure and protecting your skin from ultraviolet (UV) rays. Left untreated, the risk of actinic keratoses turning into a type of skin cancer called squamous cell carcinoma is about 5% to 10%.","Freezing (cryotherapy). Actinic keratoses can be removed by freezing them with liquid nitrogen. Your doctor applies the substance to the affected skin, which causes blistering or peeling. As your skin heals, the damaged cells slough off, allowing new skin to appear. Cryotherapy is the most common treatment. It takes only a few minutes and can be done in your doctor's office. Side effects may include blisters, scarring, changes to skin texture, infection and changes in skin color of the affected area. Scraping (curettage). In this procedure, your doctor uses a device called a curet to scrape off damaged cells. Scraping may be followed by electrosurgery, in which the doctor uses a pencil-shaped instrument to cut and destroy the affected tissue with an electric current. This procedure requires local anesthesia. Side effects may include infection, scarring and changes in skin color of the affected area. Laser therapy. This technique is increasingly used to treat actinic keratosis. Your doctor uses an ablative laser device to destroy the patch, allowing new skin to appear. Side effects may include scarring and discoloration of the affected skin. Photodynamic therapy. Your doctor might apply a light-sensitive chemical solution to the affected skin and then expose it to a special light that will destroy the actinic keratosis. Side effects may include redness, swelling and a burning sensation during therapy.","It can be difficult to distinguish between noncancerous spots and cancerous ones. So it's best to have new skin changes evaluated by a doctor — especially if a scaly spot or patch persists, grows or bleeds."
Acute coronary syndrome,"Acute coronary syndrome is a term used to describe a range of conditions associated with sudden, reduced blood flow to the heart. One such condition is a heart attack (myocardial infarction) — when cell death results in damaged or destroyed heart tissue. Even when acute coronary syndrome causes no cell death, the reduced blood flow changes how your heart works and is a sign of a high risk of heart attack. Acute coronary syndrome often causes severe chest pain or discomfort. It is a medical emergency that requires prompt diagnosis and care. The goals of treatment include improving blood flow, treating complications and preventing future problems.",Relieve pain and distress Improve blood flow Restore heart function as quickly and as best as possible,Acute coronary syndrome is a medical emergency. Chest pain or discomfort can be a sign of any number of life-threatening conditions. Get emergency help for a prompt diagnosis and appropriate care. Do not drive yourself to the hospital.
