disease,symptom
Atrial fibrillation,"Sensations of a fast, fluttering or pounding heartbeat (palpitations)"
Atrial fibrillation,Chest pain
Atrial fibrillation,Dizziness
Atrial fibrillation,Fatigue
Atrial fibrillation,Lightheadedness
Atrial fibrillation,Reduced ability to exercise
Atrial fibrillation,Shortness of breath
Atrial fibrillation,Weakness
Atrial fibrillation,"Occasional (paroxysmal atrial fibrillation). A-fib symptoms come and go, usually lasting for a few minutes to hours. Sometimes symptoms occur for as long as a week and episodes can happen repeatedly. Symptoms might go away on their own. Some people with occasional A-fib need treatment."
Atrial fibrillation,"Persistent. With this type of atrial fibrillation, the heart rhythm doesn't go back to normal on its own. If a person has A-fib symptoms, cardioversion or treatment with medications may be used to restore and maintain a normal heart rhythm."
Atrial fibrillation,Long-standing persistent. This type of atrial fibrillation is continuous and lasts longer than 12 months.
Atrial fibrillation,"Permanent. In this type of atrial fibrillation, the irregular heart rhythm can't be restored. Medications are needed to control the heart rate and to prevent blood clots."
Abdominal aortic aneurysm,"Deep, constant pain in the belly area or side of the belly (abdomen)"
Abdominal aortic aneurysm,Back pain
Abdominal aortic aneurysm,A pulse near the bellybutton
Separated shoulder,Shoulder pain
Separated shoulder,Shoulder or arm weakness
Separated shoulder,Shoulder bruising or swelling
Separated shoulder,Limited shoulder movement
Separated shoulder,A bump and swelling at the top of your shoulder
Acanthosis nigricans,Insulin resistance. Most people who have acanthosis nigricans have also become resistant to insulin. Insulin is a hormone secreted by the pancreas that allows your body to process sugar. Insulin resistance is what eventually causes type 2 diabetes.
Acanthosis nigricans,"Hormonal disorders. Acanthosis nigricans often occurs in people who have disorders such as ovarian cysts, underactive thyroids or problems with the adrenal glands."
Acanthosis nigricans,"Certain drugs and supplements. High-dose niacin, birth control pills, prednisone and other corticosteroids may cause acanthosis nigricans."
Acanthosis nigricans,"Cancer. Acanthosis nigricans also sometimes occurs with lymphoma or when a cancerous tumor begins growing in an internal organ, such as the stomach, colon or liver."
Achilles tendinitis,Your sex. Achilles tendinitis occurs most commonly in men.
Achilles tendinitis,Age. Achilles tendinitis is more common as you age.
